NumberofOfficers,GrossLoanPortfolio,NumberofActiveBorrowers,NumberofLoansOutstanding,ShortTermDelinquency,LongTermDelinquency,AvgLoanPerBorrower,CostperBorrower,BorrowersPerLoanOfficer,Profit
5,1310364,1138,1138,64840,120581,1151,374,228,-29718
1015,47428838,405937,405937,0,0,117,17,400,2663534
1899,77008628,567761,567761,0,0,136,15,299,3505940
106,4450490,26133,26133,7371,21859,170,71,247,2984949
102,8860768,34366,34374,20681,20383,258,91,337,4411185
101,11602252,37823,38024,63370,16346,307,101,374,1438782
136,12865318,40819,40819,22051,17669,315,160,300,3862784
136,12865318,40819,40819,22051,17669,315,97,300,5862308
128,15097653,44002,44002,30440,16869,343,83,344,215588
124,12891628,41298,41298,346074,17788,312,63,333,-147031
124,11757887,39486,39486,1951584,50627,298,54,318,957285
123,11221347,37668,37668,519352,549605,298,74,306,2506657
123,11221347,37668,37668,519352,549605,298,47,306,2667656
96,11005043,35958,35981,160730,659967,306,71,375,439689
105,9525186,35562,35565,258365,5756520,268,69,339,-3252797
105,9299143,35152,35152,1077784,5742122,265,58,335,1582103
105,9188631,34806,34806,64742,5795503,264,86,331,2410721
105,9188631,34806,34806,64742,5795503,264,92,331,470944
102,9263217,34551,34551,12041,6907612,268,73,339,660206
82,9279498,34399,34399,13181,8623306,270,69,420,-1398414
78,9208697,34208,34208,62440,8637274,269,84,439,2655039
71,9145328,34098,34098,12278,8661111,268,190,480,5720550
71,9145328,34098,34098,12278,8661111,268,129,480,6458924
69,8983394,33702,33702,17795,8652287,267,482,488,-2174723
25,9113459,32915,32915,11673,8553852,277,256,1317,443718
34,10391243,33221,33502,2830,8409893,313,211,977,9627230
43,11639626,33005,33279,51289,8320899,353,278,768,3815414
50,12540361,32997,33461,64016,8213702,380,202,660,3518495
160,10560963,41158,41158,1395,13488,257,19,257,92019
153,12168627,46584,46584,264,14584,261,14,304,373384
181,15465686,58217,58217,365,16428,266,17,322,201446
169,15044699,52509,52509,1586,17896,287,25,311,106051
11810,716835711,4181690,4181690,1806624,10491936,171,16,354,104361207
13028,1128556358,5362966,5362966,2638280,21880393,210,18,412,132492663
17011,1284459781,5898466,5898466,3731074,21736722,218,25,347,47959199
17796,1383146579,6043313,6043313,6612851,24519623,229,19,340,39475649
17872,1533970742,6207689,6207689,4707428,25185959,247,36,347,25804671
17872,1533970742,6207689,6207689,4707428,25185959,247,22,347,158862206
17877,1572941720,6336400,6336400,3795835,29137337,248,20,354,48013029
17907,1691341257,6509496,6509496,4572183,27926060,260,20,364,56633734
18010,1808983652,6692459,6692459,4611004,31520794,270,16,372,51974912
18070,1919018117,6794853,6794853,12344061,34263616,282,24,376,38100951
18070,1919018117,6794853,6794853,12344061,34263616,282,20,376,194395521
18100,1878124099,6486880,6791945,6501715,39692991,290,20,358,65195360
18185,1949147644,6423534,6779292,6656941,52255887,303,18,353,63094741
18262,2001878503,6357220,6756027,5813453,59337519,315,21,348,64233995
15260,1934925801,6156543,6502795,6091420,64662941,314,24,403,53525143
18294,1934925801,6156543,6502795,6091420,64662941,314,20,337,245890460
18310,1813763177,5949759,6231006,6391400,72983287,305,25,325,57309515
18270,1801322170,5794752,6032162,9769988,65634502,311,23,317,64846742
18233,1875519699,5885111,6064948,4163894,69231032,319,28,323,57557185
18203,1906096873,5917367,6076773,3978228,69566426,322,37,325,42957602
18203,1906096873,5917367,6076773,3978228,69566426,322,28,325,220340912
1970,52358027,586903,586903,0,0,89,35,298,2664299
2456,61453856,701779,701779,0,0,88,35,286,2487454
2916,79930046,849232,849232,0,0,94,38,291,2400895
2923,87002810,890020,890020,0,0,98,34,304,717987
3134,93396197,936149,936149,0,0,100,48,299,1097295
3349,106271668,1036216,1036216,0,0,103,46,309,1472135
3465,119879226,1073580,1073580,0,0,112,20,310,2976367
3465,119879226,1073580,1073580,0,0,112,41,310,7096603
3412,130516564,1091197,1091197,0,0,120,53,320,1847939
3853,143166972,1143653,1143653,0,0,125,54,297,5005365
4176,159114565,1251574,1291934,0,0,127,52,300,6085612
4224,178197645,1273136,1273136,0,0,140,21,301,14429894
4224,178197645,1273136,1273136,0,0,140,44,301,28489349
4405,187320583,1322642,1322642,552112,0,142,53,300,6321221
4730,225654294,1391072,1391072,852304,0,162,54,294,1885489
5121,243561771,1495577,1495577,1350952,0,163,49,292,7880288
5038,268587153,1532695,1532695,958960,0,175,21,304,11582819
6255,336446697,1753871,1753871,0,0,192,40,280,48875432
6310,342176212,1786886,1786886,518510,0,191,53,283,12212495
6549,383075418,1812139,1812139,530507,0,211,52,277,12326176
39,1327052,13662,13662,0,17813,97,74,350,-904681
35,29818531,31890,31890,377,9008,935,210,911,1555145
35,28701280,33463,33463,16537,132714,858,277,956,1750761
35,24652789,30771,30771,28138,15923,801,289,879,1301273
35,24197242,29446,29446,18220,10153,822,295,841,1407006
35,22790905,28666,28666,24946,9712,795,313,819,1220098
35,25481942,23329,23329,30804,9625,1092,352,667,1277717
29,38620168,26388,26388,13835,17809,1464,365,910,1077970
28,99368448,22677,22692,39967,35052,4382,434,810,1201300
68,105485403,15626,16988,9819440,682889,6751,667,230,1133579
100,131180831,20859,22078,13017629,851924,6289,578,209,2933451
101,138349179,22982,24222,16624262,1061025,6020,601,228,613189
107,141734692,23325,24616,17823293,1104847,6077,611,218,887307
107,141734692,23325,24616,17823293,1290377,6077,591,218,3269744
113,145005504,23705,25011,17261334,1178889,6117,617,210,727773
108,148517581,24501,25856,16203935,542396,6062,559,227,1708653
93,148621145,24385,25734,19330883,703281,6095,586,262,1028112
89,153962292,24461,25891,19256940,876387,6294,610,275,805117
